team_id,canonical_name,source_name,source,valid_from,valid_to,source_club_id
team_0029,サガン鳥栖,サガン鳥栖,jleague_official,,,tosu
team_0030,浦和レッズ,浦和,jleague_data_site,,,urawa
team_0030,浦和レッズ,浦和レッズ,jleague_official,,,urawa
team_0030,浦和レッズ,浦和レッズ,jleague_data_site,,,urawa
team_0031,モンテディオ山形,山形,jleague_data_site,,,yamagata
team_0031,モンテディオ山形,モンテディオ山形,jleague_official,,,yamagata
team_0032,横浜ＦＣ,横浜FC,jleague_data_site,,,yokohamafc
team_0032,横浜ＦＣ,横浜ＦＣ,jleague_official,,,yokohamafc
team_0033,横浜Ｆ・マリノス,横浜FM,jleague_data_site,,,yokohamafm
team_0033,横浜Ｆ・マリノス,横浜Ｆ・マリノス,jleague_official,,,yokohamafm
team_0033,横浜Ｆ・マリノス,横浜Ｆ・マリノス,jleague_data_site,,,yokohamafm
